t,Ref1,Test1,Ref2,Test2,Ref3,Test3,Ref4,Test4,epoch,loss
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,500.0,3.50739064742811e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,510.0,5.1758430345216766e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,520.0,1.9078079276368953e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,530.0,4.811168764717877e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,540.0,4.8453701310791075e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,550.0,4.372612966108136e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,560.0,2.4922544980654493e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,570.0,4.92160688736476e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,580.0,3.748458402696997e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,590.0,2.7853182473336346e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,600.0,2.995303839270491e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,610.0,3.2454077881993726e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,620.0,2.9293540137587115e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,630.0,2.3542632334283553e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,640.0,3.1895764550426975e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,650.0,1.874376175692305e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,660.0,4.729773718281649e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,670.0,3.644624666776508e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,680.0,2.311280695721507e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,690.0,2.398210926912725e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,700.0,4.336477650213055e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,710.0,2.141721051884815e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,720.0,2.533772749302443e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,730.0,2.156228401872795e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,740.0,1.5761423128424212e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,750.0,2.3702958060312085e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,760.0,3.3647331292741e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,770.0,6.206550460774451e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,780.0,2.76627888524672e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,790.0,1.6253188732662238e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,800.0,2.072699680866208e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,810.0,7.6545518822968e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,820.0,1.7100277545978315e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,830.0,1.9524077288224362e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,840.0,3.0491637517116033e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,850.0,2.8628639483940788e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,860.0,3.276419738540426e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,870.0,2.9872517188778147e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,880.0,1.4614538486057427e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,890.0,5.110569691169076e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900.0,1.561473254696466e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,910.0,3.5156375815859064e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,920.0,2.2580734366783872e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,930.0,1.4355049643199891e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,940.0,2.9562794225057587e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,950.0,2.5261411792598665e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,960.0,2.5342793378513306e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,970.0,3.496348290354945e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,980.0,2.4042106815613806e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,990.0,1.4520197510137223e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,999.0,3.5245251638116315e-05
